sport_level,location_type,licensee,tier_1_wagers,tier_1_handle,tier_2_wagers,tier_2_handle,month,numerical_month,year,detail_type,baseball,basketball,boxing_mma,football,golf,hockey,soccer,tennis,parlay,other_sport,motor_race_event,motor_race_parlay,other_event,other_event_parlay,total_wagers,total_handle
Professional,In-Person Wagering,"Alton Casino, LLC",3110,248245.5,2089,271633.87,January,1,2021,Wager Details,12,3446,99,1178,207,596,80,2,971,0,6,0,0,0,5199,519879.37
Professional,In-Person Wagering,"Alton Casino, LLC",3110,248245.5,2089,271633.87,January,1,2021,Handle Details,786.5,516410.28,5597.55,121715.15,3584.89,17476.78,5416.14,291.07,35756.8,0,45,0,0,0,5199,519879.37
Professional,In-Person Wagering,"Casino Queen, Inc.",5542,431162.59,2149,60633.11,January,1,2021,Wager Details,33,4819,105,1595,108,836,328,4,1617,0,6,0,0,0,7691,491795.7
Professional,In-Person Wagering,"Casino Queen, Inc.",5542,431162.59,2149,60633.11,January,1,2021,Handle Details,1245.71,367339.58,9762.61,142046.3,3849.15,61571.86,35097.53,561,35873.15,0,19,0,0,0,7691,491795.7
Professional,In-Person Wagering,Elgin Riverboat Resort,1074,232778.95,130,17181,January,1,2021,Wager Details,6,618,40,617,24,131,22,0,0,0,3,0,0,0,1204,249959.95
Professional,In-Person Wagering,Elgin Riverboat Resort,1074,232778.95,130,17181,January,1,2021,Handle Details,150,146800.65,2720,186075.6,1360,11091.75,5529,0,0,0,55,0,0,0,1204,249959.95
Professional,In-Person Wagering,"Hawthorne Race Course, Inc.",1899,97823.9,2,45,January,1,2021,Wager Details,1,1811,65,636,0,212,0,0,247,0,0,0,0,0,1901,97868.9
Professional,In-Person Wagering,"Hawthorne Race Course, Inc.",1899,97823.9,2,45,January,1,2021,Handle Details,125,90054.05,3221,35563.5,0,10381.4,0,0,12312,0,0,0,0,0,1901,97868.9
Professional,In-Person Wagering,"HC Aurora, LLC",1513,165250.03,428,43389.41,January,1,2021,Wager Details,57,1199,55,603,28,162,38,2,170,0,3,0,0,0,1941,208639.44
Professional,In-Person Wagering,"HC Aurora, LLC",1513,165250.03,428,43389.41,January,1,2021,Handle Details,1164.76,167107.09,2500,60176.5,1662,5993.4,2795,95,18587.04,0,25,0,0,0,1941,208639.44
Professional,In-Person Wagering,"HC Joliet, LLC",1544,98961.62,829,109984.01,January,1,2021,Wager Details,6,1497,50,715,40,217,395,0,265,1,2,0,0,0,2373,208945.63
Professional,In-Person Wagering,"HC Joliet, LLC",1544,98961.62,829,109984.01,January,1,2021,Handle Details,185,171501.19,3336.06,74290.07,1133.5,23608.86,21355.21,0,13587.05,10,40,0,0,0,2373,208945.63
Professional,In-Person Wagering,"Midwest Gaming & Entertainment, LLC",9384,1861870.54,4510,1049241.3,January,1,2021,Wager Details,40,8974,290,2880,118,1167,1790,36,2164,6,3,0,0,0,13894,2911111.84
Professional,In-Person Wagering,"Midwest Gaming & Entertainment, LLC",9384,1861870.54,4510,1049241.3,January,1,2021,Handle Details,2460,2171542.32,65075.17,957557.1,3452.27,113943.64,217737.77,4506.57,209960.42,760,30,0,0,0,13894,2911111.84
Professional,In-Person Wagering,Par-A-Dice Gaming Corporation,1643,113730.93,116,3089.34,January,1,2021,Wager Details,2,356,21,359,1,55,1,0,1185,0,0,0,0,0,1759,116820.27
Professional,In-Person Wagering,Par-A-Dice Gaming Corporation,1643,113730.93,116,3089.34,January,1,2021,Handle Details,110,36397,799,63257.25,10,3722,40,0,30436.02,0,0,0,0,0,1759,116820.27
Professional,Online Wagering,"Alton Casino, LLC",0,0,0,0,January,1,2021,Wager Details,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Professional,Online Wagering,"Alton Casino, LLC",0,0,0,0,January,1,2021,Handle Details,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Professional,Online Wagering,"Casino Queen, Inc.",2568847,72356218.94,3664997,112348345.5,January,1,2021,Wager Details,2766,1961656,134743,2223140,120223,236870,251716,75762,2602498,197247,1663,0,0,0,6233844,184704564.4
Professional,Online Wagering,"Casino Queen, Inc.",2568847,72356218.94,3664997,112348345.5,January,1,2021,Handle Details,78646.15,92590892.96,3567430.29,69335244.06,2080297.55,7571451.22,12710205.62,4476511.15,47210285.82,3908592.14,9286.25,0,0,0,6233844,184704564.4
Professional,Online Wagering,Elgin Riverboat Resort,40275,5641353.05,1375,37137.61,January,1,2021,Wager Details,52,30903,973,24235,436,3474,2736,151,0,85,18,0,0,0,41650,5678490.66
Professional,Online Wagering,Elgin Riverboat Resort,40275,5641353.05,1375,37137.61,January,1,2021,Handle Details,1608.04,4061914.35,49066.42,4348569.57,33162.27,219340.49,179030.04,22994.42,0,1413.4,97,0,0,0,41650,5678490.66
