detail_type,location_type,licensee,baseball,basketball,boxing_mma,football,golf,hockey,soccer,tennis,parlay,other_sport,motor_race_event,motor_race_parlay,other_event,other_event_parlay,month,numerical_month,year
Wager Details,In-Person Wagering,"Alton Casino, LLC",12,3446,99,1178,207,596,80,2,971,0,6,0,0,0,January,1,2021
Wager Details,In-Person Wagering,"Casino Queen, Inc.",33,4819,105,1595,108,836,328,4,1617,0,6,0,0,0,January,1,2021
Wager Details,In-Person Wagering,Elgin Riverboat Resort,6,618,40,617,24,131,22,0,0,0,3,0,0,0,January,1,2021
Wager Details,In-Person Wagering,"Hawthorne Race Course, Inc.",1,1811,65,636,0,212,0,0,247,0,0,0,0,0,January,1,2021
Wager Details,In-Person Wagering,"HC Aurora, LLC",57,1199,55,603,28,162,38,2,170,0,3,0,0,0,January,1,2021
Wager Details,In-Person Wagering,"HC Joliet, LLC",6,1497,50,715,40,217,395,0,265,1,2,0,0,0,January,1,2021
Wager Details,In-Person Wagering,"Midwest Gaming & Entertainment, LLC",40,8974,290,2880,118,1167,1790,36,2164,6,3,0,0,0,January,1,2021
Wager Details,In-Person Wagering,Par-A-Dice Gaming Corporation,2,356,21,359,1,55,1,0,1185,0,0,0,0,0,January,1,2021
Wager Details,Online Wagering,"Alton Casino, LLC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,January,1,2021
Wager Details,Online Wagering,"Casino Queen, Inc.",2766,1961656,134743,2223140,120223,236870,251716,75762,2602498,197247,1663,0,0,0,January,1,2021
Wager Details,Online Wagering,Elgin Riverboat Resort,52,30903,973,24235,436,3474,2736,151,0,85,18,0,0,0,January,1,2021
Wager Details,Online Wagering,"Hawthorne Race Course, Inc.",443,209990,9954,145305,11407,28355,29255,6645,176622,61104,51,0,0,0,January,1,2021
Wager Details,Online Wagering,"HC Aurora, LLC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,January,1,2021
Wager Details,Online Wagering,"HC Joliet, LLC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,January,1,2021
Wager Details,Online Wagering,"Midwest Gaming & Entertainment, LLC",1074,886960,36290,654391,32590,128553,179303,41447,194527,1552,93,0,0,0,January,1,2021
Wager Details,Online Wagering,Par-A-Dice Gaming Corporation,1623,1366804,93977,1212171,53572,145803,127850,47502,3748853,56120,378,0,0,0,January,1,2021
Wager Details,Total,"Alton Casino, LLC",12,3446,99,1178,207,596,80,2,971,0,6,0,0,0,January,1,2021
Wager Details,Total,"Casino Queen, Inc.",2799,1966475,134848,2224735,120331,237706,252044,75766,2604115,197247,1669,0,0,0,January,1,2021
Wager Details,Total,Elgin Riverboat Resort,58,31521,1013,24852,460,3605,2758,151,0,85,21,0,0,0,January,1,2021
Wager Details,Total,"Hawthorne Race Course, Inc.",444,211801,10019,145941,11407,28567,29255,6645,176869,61104,51,0,0,0,January,1,2021
Wager Details,Total,"HC Aurora, LLC",57,1199,55,603,28,162,38,2,170,0,3,0,0,0,January,1,2021
