sport_level,location_type,licensee,tier_1_wagers,tier_1_handle,tier_2_wagers,tier_2_handle,month,numerical_month,year,total_wager,total_handle
Professional,In-Person Wagering,"Alton Casino, LLC",3110,248245.5,2089,271633.87,January,1,2021,5199,519879.37
Professional,In-Person Wagering,"Casino Queen, Inc.",5542,431162.59,2149,60633.11,January,1,2021,7691,491795.7
Professional,In-Person Wagering,Elgin Riverboat Resort,1074,232778.95,130,17181,January,1,2021,1204,249959.95
Professional,In-Person Wagering,"Hawthorne Race Course, Inc.",1899,97823.9,2,45,January,1,2021,1901,97868.9
Professional,In-Person Wagering,"HC Aurora, LLC",1513,165250.03,428,43389.41,January,1,2021,1941,208639.44
Professional,In-Person Wagering,"HC Joliet, LLC",1544,98961.62,829,109984.01,January,1,2021,2373,208945.63
Professional,In-Person Wagering,"Midwest Gaming & Entertainment, LLC",9384,1861870.54,4510,1049241.3,January,1,2021,13894,2911111.84
Professional,In-Person Wagering,Par-A-Dice Gaming Corporation,1643,113730.93,116,3089.34,January,1,2021,1759,116820.27
Professional,Online Wagering,"Alton Casino, LLC",0,0,0,0,January,1,2021,0,0
Professional,Online Wagering,"Casino Queen, Inc.",2568847,72356218.94,3664997,112348345.5,January,1,2021,6233844,184704564.4
Professional,Online Wagering,Elgin Riverboat Resort,40275,5641353.05,1375,37137.61,January,1,2021,41650,5678490.66
Professional,Online Wagering,"Hawthorne Race Course, Inc.",389339,16599576.65,121712,11897708.19,January,1,2021,511051,28497284.84
Professional,Online Wagering,"HC Aurora, LLC",0,0,0,0,January,1,2021,0,0
Professional,Online Wagering,"HC Joliet, LLC",0,0,0,0,January,1,2021,0,0
Professional,Online Wagering,"Midwest Gaming & Entertainment, LLC",883140,34259475.17,756509,43082420.66,January,1,2021,1639649,77341895.83
Professional,Online Wagering,Par-A-Dice Gaming Corporation,4656872,87244455.93,1567217,52874635.16,January,1,2021,6224089,140119091.1
Professional,Total,"Alton Casino, LLC",3110,248245.5,2089,271633.87,January,1,2021,5199,519879.37
Professional,Total,"Casino Queen, Inc.",2574389,72787381.53,3667146,112408978.6,January,1,2021,6241535,185196360.1
Professional,Total,Elgin Riverboat Resort,41349,5874132,1505,54318.61,January,1,2021,42854,5928450.61
Professional,Total,"Hawthorne Race Course, Inc.",391238,16697400.55,121714,11897753.19,January,1,2021,512952,28595153.74
Professional,Total,"HC Aurora, LLC",1513,165250.03,428,43389.41,January,1,2021,1941,208639.44
Professional,Total,"HC Joliet, LLC",1544,98961.62,829,109984.01,January,1,2021,2373,208945.63
Professional,Total,"Midwest Gaming & Entertainment, LLC",892524,36121345.71,761019,44131661.96,January,1,2021,1653543,80253007.67
Professional,Total,Par-A-Dice Gaming Corporation,4658515,87358186.86,1567333,52877724.5,January,1,2021,6225848,140235911.4
College,In-Person Wagering,"Alton Casino, LLC",961,111634.41,431,75521.38,January,1,2021,1392,187155.79
College,In-Person Wagering,"Casino Queen, Inc.",1359,124328.85,395,41222.34,January,1,2021,1754,165551.19
College,In-Person Wagering,Elgin Riverboat Resort,254,103767.05,0,0,January,1,2021,254,103767.05
College,In-Person Wagering,"Hawthorne Race Course, Inc.",1071,53788.05,0,0,January,1,2021,1071,53788.05
College,In-Person Wagering,"HC Aurora, LLC",312,35616.07,61,15825.28,January,1,2021,373,51441.35
College,In-Person Wagering,"HC Joliet, LLC",455,67662.58,358,32398.73,January,1,2021,813,100061.31
College,In-Person Wagering,"Midwest Gaming & Entertainment, LLC",2488,555040.79,1083,280842.63,January,1,2021,3571,835883.42
College,In-Person Wagering,Par-A-Dice Gaming Corporation,216,16887,5,1064,January,1,2021,221,17951
College,Online Wagering,"Alton Casino, LLC",0,0,0,0,January,1,2021,0,0
College,Online Wagering,"Casino Queen, Inc.",928524,26597777.46,644253,32227215.08,January,1,2021,1572777,58824992.54
College,Online Wagering,Elgin Riverboat Resort,21129,3226927.72,266,11680.62,January,1,2021,21395,3238608.34
College,Online Wagering,"Hawthorne Race Course, Inc.",102528,5396423.01,65501,6545012.78,January,1,2021,168029,11941435.79
College,Online Wagering,"HC Aurora, LLC",0,0,0,0,January,1,2021,0,0
College,Online Wagering,"HC Joliet, LLC",0,0,0,0,January,1,2021,0,0
College,Online Wagering,"Midwest Gaming & Entertainment, LLC",336144,14748495.58,180894,16899850.35,January,1,2021,517038,31648345.93
College,Online Wagering,Par-A-Dice Gaming Corporation,442664,19708914.17,187522,13515672.53,January,1,2021,630186,33224586.7
College,Total,"Alton Casino, LLC",961,111634.41,431,75521.38,January,1,2021,1392,187155.79
College,Total,"Casino Queen, Inc.",929883,26722106.31,644648,32268437.42,January,1,2021,1574531,58990543.73
College,Total,Elgin Riverboat Resort,21383,3330694.77,266,11680.62,January,1,2021,21649,3342375.39
College,Total,"Hawthorne Race Course, Inc.",103599,5450211.06,65501,6545012.78,January,1,2021,169100,11995223.84
College,Total,"HC Aurora, LLC",312,35616.07,61,15825.28,January,1,2021,373,51441.35
College,Total,"HC Joliet, LLC",455,67662.58,358,32398.73,January,1,2021,813,100061.31
College,Total,"Midwest Gaming & Entertainment, LLC",338632,15303536.37,181977,17180692.98,January,1,2021,520609,32484229.35
College,Total,Par-A-Dice Gaming Corporation,442880,19725801.17,187527,13516736.53,January,1,2021,630407,33242537.7
Motor Race,In-Person Wagering,"Alton Casino, LLC",6,45,0,0,January,1,2021,6,45
Motor Race,In-Person Wagering,"Casino Queen, Inc.",6,19,0,0,January,1,2021,6,19
Motor Race,In-Person Wagering,Elgin Riverboat Resort,3,55,0,0,January,1,2021,3,55
Motor Race,In-Person Wagering,"Hawthorne Race Course, Inc.",0,0,0,0,January,1,2021,0,0
Motor Race,In-Person Wagering,"HC Aurora, LLC",3,25,0,0,January,1,2021,3,25
Motor Race,In-Person Wagering,"HC Joliet, LLC",2,40,0,0,January,1,2021,2,40
Motor Race,In-Person Wagering,"Midwest Gaming & Entertainment, LLC",3,30,0,0,January,1,2021,3,30
Motor Race,In-Person Wagering,Par-A-Dice Gaming Corporation,0,0,0,0,January,1,2021,0,0
Motor Race,Online Wagering,"Alton Casino, LLC",0,0,0,0,January,1,2021,0,0
Motor Race,Online Wagering,"Casino Queen, Inc.",1660,9161.25,3,125,January,1,2021,1663,9286.25
Motor Race,Online Wagering,Elgin Riverboat Resort,18,97,0,0,January,1,2021,18,97
Motor Race,Online Wagering,"Hawthorne Race Course, Inc.",51,712.9,0,0,January,1,2021,51,712.9
Motor Race,Online Wagering,"HC Aurora, LLC",0,0,0,0,January,1,2021,0,0
Motor Race,Online Wagering,"HC Joliet, LLC",0,0,0,0,January,1,2021,0,0
Motor Race,Online Wagering,"Midwest Gaming & Entertainment, LLC",93,589.8,0,0,January,1,2021,93,589.8
Motor Race,Online Wagering,Par-A-Dice Gaming Corporation,378,2483.51,0,0,January,1,2021,378,2483.51
Motor Race,Total,"Alton Casino, LLC",6,45,0,0,January,1,2021,6,45
Motor Race,Total,"Casino Queen, Inc.",1666,9180.25,3,125,January,1,2021,1669,9305.25
Motor Race,Total,Elgin Riverboat Resort,21,152,0,0,January,1,2021,21,152
Motor Race,Total,"Hawthorne Race Course, Inc.",51,712.9,0,0,January,1,2021,51,712.9
Motor Race,Total,"HC Aurora, LLC",3,25,0,0,January,1,2021,3,25
Motor Race,Total,"HC Joliet, LLC",2,40,0,0,January,1,2021,2,40
Motor Race,Total,"Midwest Gaming & Entertainment, LLC",96,619.8,0,0,January,1,2021,96,619.8
Motor Race,Total,Par-A-Dice Gaming Corporation,378,2483.51,0,0,January,1,2021,378,2483.51
Other Event,In-Person Wagering,"Alton Casino, LLC",0,0,0,0,January,1,2021,0,0
Other Event,In-Person Wagering,"Casino Queen, Inc.",0,0,0,0,January,1,2021,0,0
Other Event,In-Person Wagering,Elgin Riverboat Resort,0,0,0,0,January,1,2021,0,0
Other Event,In-Person Wagering,"Hawthorne Race Course, Inc.",0,0,0,0,January,1,2021,0,0
Other Event,In-Person Wagering,"HC Aurora, LLC",0,0,0,0,January,1,2021,0,0
Other Event,In-Person Wagering,"HC Joliet, LLC",0,0,0,0,January,1,2021,0,0
Other Event,In-Person Wagering,"Midwest Gaming & Entertainment, LLC",0,0,0,0,January,1,2021,0,0
Other Event,In-Person Wagering,Par-A-Dice Gaming Corporation,0,0,0,0,January,1,2021,0,0
Other Event,Online Wagering,"Alton Casino, LLC",0,0,0,0,January,1,2021,0,0
Other Event,Online Wagering,"Casino Queen, Inc.",0,0,0,0,January,1,2021,0,0
Other Event,Online Wagering,Elgin Riverboat Resort,0,0,0,0,January,1,2021,0,0
Other Event,Online Wagering,"Hawthorne Race Course, Inc.",0,0,0,0,January,1,2021,0,0
Other Event,Online Wagering,"HC Aurora, LLC",0,0,0,0,January,1,2021,0,0
Other Event,Online Wagering,"HC Joliet, LLC",0,0,0,0,January,1,2021,0,0
Other Event,Online Wagering,"Midwest Gaming & Entertainment, LLC",0,0,0,0,January,1,2021,0,0
Other Event,Online Wagering,Par-A-Dice Gaming Corporation,0,0,0,0,January,1,2021,0,0
Other Event,Total,"Alton Casino, LLC",0,0,0,0,January,1,2021,0,0
Other Event,Total,"Casino Queen, Inc.",0,0,0,0,January,1,2021,0,0
Other Event,Total,Elgin Riverboat Resort,0,0,0,0,January,1,2021,0,0
Other Event,Total,"Hawthorne Race Course, Inc.",0,0,0,0,January,1,2021,0,0
Other Event,Total,"HC Aurora, LLC",0,0,0,0,January,1,2021,0,0
Other Event,Total,"HC Joliet, LLC",0,0,0,0,January,1,2021,0,0
Other Event,Total,"Midwest Gaming & Entertainment, LLC",0,0,0,0,January,1,2021,0,0
Other Event,Total,Par-A-Dice Gaming Corporation,0,0,0,0,January,1,2021,0,0
Professional,In-Person Wagering,"Alton Casino, LLC",11544,914087.1,8730,899568.53,February,2,2021,20274,1813655.63
Professional,In-Person Wagering,"Casino Queen, Inc.",21962,1640858.31,13294,496492.86,February,2,2021,35256,2137351.17
Professional,In-Person Wagering,Elgin Riverboat Resort,3994,463123.9,691,48982.45,February,2,2021,4685,512106.35
Professional,In-Person Wagering,"Hawthorne Race Course, Inc.",6914,497470.8,22,1602,February,2,2021,6936,499072.8
Professional,In-Person Wagering,"HC Aurora, LLC",6354,461939.49,1807,129175.44,February,2,2021,8161,591114.93
Professional,In-Person Wagering,"HC Joliet, LLC",5150,378693.23,3679,190137.49,February,2,2021,8829,568830.72
Professional,In-Person Wagering,"Midwest Gaming & Entertainment, LLC",26433,3918969.93,21105,3295154.97,February,2,2021,47538,7214124.9
Professional,In-Person Wagering,Par-A-Dice Gaming Corporation,3087,237615,378,20328,February,2,2021,3465,257943
Professional,Online Wagering,"Alton Casino, LLC",0,0,0,0,February,2,2021,0,0
Professional,Online Wagering,"Casino Queen, Inc.",1948516,46471306.4,3087370,91985260.78,February,2,2021,5035886,138456567.2
Professional,Online Wagering,Elgin Riverboat Resort,40963,4361695.13,4225,284639.72,February,2,2021,45188,4646334.85
Professional,Online Wagering,"Hawthorne Race Course, Inc.",350062,12622110.14,128924,14736284.51,February,2,2021,478986,27358394.65
Professional,Online Wagering,"HC Aurora, LLC",0,0,0,0,February,2,2021,0,0
Professional,Online Wagering,"HC Joliet, LLC",0,0,0,0,February,2,2021,0,0
Professional,Online Wagering,"Midwest Gaming & Entertainment, LLC",697117,22249307.82,743007,38754335.09,February,2,2021,1440124,61003642.91
Professional,Online Wagering,Par-A-Dice Gaming Corporation,4320526,68646086.86,1969253,57423587.33,February,2,2021,6289779,126069674.2
Professional,Total,"Alton Casino, LLC",11544,914087.1,8730,899568.53,February,2,2021,20274,1813655.63
Professional,Total,"Casino Queen, Inc.",1970478,48112164.71,3100664,92481753.64,February,2,2021,5071142,140593918.4
Professional,Total,Elgin Riverboat Resort,44957,4824819.03,4916,333622.17,February,2,2021,49873,5158441.2
Professional,Total,"Hawthorne Race Course, Inc.",356976,13119580.94,128946,14737886.51,February,2,2021,485922,27857467.45
Professional,Total,"HC Aurora, LLC",6354,461939.49,1807,129175.44,February,2,2021,8161,591114.93
Professional,Total,"HC Joliet, LLC",5150,378693.23,3679,190137.49,February,2,2021,8829,568830.72
Professional,Total,"Midwest Gaming & Entertainment, LLC",723550,26168277.75,764112,42049490.06,February,2,2021,1487662,68217767.81
Professional,Total,Par-A-Dice Gaming Corporation,4323613,68883701.86,1969631,57443915.33,February,2,2021,6293244,126327617.2
College,In-Person Wagering,"Alton Casino, LLC",3650,523001.18,1749,376035.79,February,2,2021,5399,899036.97
